"text","risk_level","clause_type","one_sided","jurisdiction","contract_type","notes"
"The Contractor shall provide a performance guarantee of 5% of the Contract Sum from an acceptable financial institution within 14 days of Contract execution.","medium","administrative","false","ZW","bespoke","10% performance guarantee; market norm in Zimbabwe but creates liquidity demand."
"Notwithstanding any other provision, where the Employer fails to issue a payment notice or pay less notice by the prescribed date, the sum stated in the Contractor's payment application shall become the sum due.","opportunity","payment","true","UK","JCT","Default payment mechanism under HGCRA; contractor's application becomes notified sum if employer fails to serve notice."
"Subject to the terms of this Contract, the Contractor accepts all risk for errors in the Scope or Works Information provided by the Employer and shall not be entitled to any adjustment of the Prices or Completion Date.","high","variation","true","UK","NEC4","Employer's scope errors become contractor's risk; contrary to CE 60.1(1)."
"Notwithstanding any other provision, payment shall only be made quarterly; no interim payments shall be due during the Contract Period regardless of the value of work executed.","high","payment","true","ZW","bespoke","Quarterly payment cycle; creates severe cash flow hardship for contractor, particularly in Zimbabwe's inflation environment."
"In accordance with industry practice, any claim not submitted within 14 days of the cause of action arising is time-barred and shall not be considered.","high","delay","true","ZW","bespoke","14-day claim bar is impractically short; causes loss of legitimate claims on complex projects."
"Subject to the terms of this Contract, the Contractor shall rectify any defect notified during the Defects Liability Period within 3 days of notification, failing which the Employer may engage others and recover costs at a premium rate of 150% of the cost incurred.","high","warranty","true","UK","JCT","Impossibly short rectification window; premium rate recovery is punitive and unjustifiable."
"It is hereby agreed that the Contractor shall register the project with the Zimbabwe Revenue Authority and comply with all ZIMRA withholding tax obligations.","low","regulatory","false","ZW","bespoke","Tax compliance obligation; standard for Zimbabwe construction projects."
"The parties agree that the Contractor shall submit a monthly cost report showing actual versus forecast expenditure, certified by the Contractor's quantity surveyor.","low","payment","false","ZW","FIDIC","Cost reporting obligation; transparency tool."
"Without limiting the generality of the foregoing, the Contractor shall keep a daily site diary recording weather conditions, labour strength, materials received and work carried out.","low","administrative","false","ZW","bespoke","Site record-keeping obligation; standard practice."
"Without limiting the generality of the foregoing, the Contractor shall be liable for delay damages at the stated rate from the scheduled Completion Date, whether or not the delay was caused partly by the Employer.","high","delay","true","ZW","FIDIC","LADs run even where employer is partly responsible; no concurrent delay apportionment."
"In accordance with industry practice, the Contractor's share of savings achieved below the Target Cost shall be calculated at 50% of the underspend.","opportunity","payment","false","UK","NEC4","50% gainshare on Option C target; significant upside for efficient contractor."
"Subject to the terms of this Contract, the Contract shall be governed by the law of Zimbabwe and any disputes shall be subject to the jurisdiction of Zimbabwean courts.","low","administrative","false","ZW","bespoke","Governing law and jurisdiction; standard for Zimbabwe contracts."
"SIGNED for and on behalf of THE CONTRACTOR by a duly authorised representative:","neutral","administrative","false","ZW","bespoke","Execution signature block."
"For the avoidance of doubt, the Contractor is entitled to a compensation event where the Project Manager gives an instruction to stop work, and the stop lasts more than 13 weeks, and no further instruction is given.","opportunity","delay","false","UK","NEC4","Prolonged stop-work triggers CE; protects contractor's standing costs."
"The Employer shall make an Advance Payment of 5% of the Accepted Contract Amount within 21 days of receipt of the Performance Security.","medium","payment","false","ZW","FIDIC","FIDIC advance payment at 10%; standard and contractor-supportive."
"Words importing the singular include the plural and vice versa; words importing any gender include all genders.","neutral","administrative","false","UK","JCT","Standard interpretation provision."
"In accordance with industry practice, any acceleration instruction by the Employer shall constitute a variation entitling the Contractor to additional payment for overtime, additional resources and loss of productivity.","opportunity","variation","true","UK","JCT","Acceleration as a paid variation; prevents employer from demanding acceleration without compensation."
"'Contract Price' means the sum stated in the Letter of Acceptance, subject to adjustment in accordance with this Contract.","neutral","administrative","false","ZW","bespoke","Standard contract price definition."
"For the avoidance of doubt, the Contractor shall submit a detailed breakdown of any claim for additional Cost within 84 days of the claim notice.","medium","delay","false","ZW","FIDIC","84-day detailed claim submission; reasonable period for complex cost substantiation."
"For the avoidance of doubt, certificates issued under this Contract shall not be taken as evidence that the Works have been completed in accordance with the Contract.","low","administrative","false","ZW","bespoke","Standard certification disclaimer."
"SECTION 10: TERMINATION","neutral","administrative","false","ZW","bespoke","Termination section heading."
"In accordance with industry practice, the Contractor's liability for latent defects shall survive the Defects Certificate and continue for 6 years from the date of Practical Completion.","medium","warranty","false","UK","JCT","Latent defect liability period; standard under Limitation Act 1980."
"The Contractor shall submit as-built drawings within 48 hours of Practical Completion.","low","administrative","false","ZW","bespoke","As-built record submission obligation; standard completion deliverable."
"Subject to the terms of this Contract, certificates issued under this Contract shall not be taken as evidence that the Works have been completed in accordance with the Contract.","low","administrative","false","ZW","bespoke","Standard certification disclaimer."
"'Time for Completion' means the time for completing the Works or a Section as stated in the Contract Data, adjusted under Sub-Clause 8.5.","neutral","administrative","false","ZW","FIDIC","Standard FIDIC completion time definition."
"For the avoidance of doubt, where the exchange rate moves by more than 5% against the Contractor between the Base Date and the payment date, the Contract Price shall be adjusted by the difference.","opportunity","payment","false","ZW","FIDIC","Exchange rate fluctuation protection; strong safeguard for international contracts in Zimbabwe."
"In accordance with industry practice, the Contractor shall provide all Equipment and Temporary Works needed for execution of the Works.","low","administrative","false","ZW","FIDIC","Equipment provision obligation; standard."
"It is hereby agreed that disputes shall first be referred to a technical expert for determination within 30 days; expert determination shall be binding unless overturned by arbitration.","medium","dispute","false","ZW","bespoke","Expert determination as first-tier; efficient mechanism for technical disputes."
"If the Contractor becomes insolvent, the Employer shall have the right to complete the Works using the Contractor's workforce and equipment without further payment.","high","termination","true","UK","JCT","Employer's step-in right using contractor's resources without additional payment; commercially punitive."
"Notwithstanding any other provision, all payments under this Contract shall be made in United States Dollars; any payment made in RTGS or ZiG currency shall not discharge the Contractor's payment obligation.","high","payment","true","ZW","bespoke","USD-only payment in reverse; in context where contractor is employer, this shifts forex risk onto subcontractor."
"Notwithstanding any other provision, the Contractor accepts the risk of legal changes to the law of any country applicable to the Contractor's work and no compensation event arises from change in law.","high","regulatory","true","UK","NEC4","Change-in-law risk transferred to contractor; contrary to standard NEC4 CE 60.1(18)."
"In accordance with industry practice, the Employer shall give the Contractor possession of the Site on the Date of Possession stated in the Contract Particulars.","low","administrative","false","UK","JCT","Standard possession provision; balanced obligation on employer."
"4. SUB-CONTRACTOR'S PLANT, TOOLS AND EQUIPMENT","neutral","administrative","false","ZW","bespoke","Heading or procedural clause; no material risk allocation."
"Without limiting the generality of the foregoing, the Contractor is entitled to Exceptional Event relief for epidemics, natural catastrophes, wars, embargoes and acts of government.","opportunity","force_majeure","false","ZW","FIDIC","Broad exceptional event relief including government action; relevant for Zimbabwe sovereign risk."
"The Contractor shall provide a performance guarantee of 5% of the Contract Sum from an acceptable financial institution within 14 days of Contract execution.","medium","administrative","false","ZW","bespoke","10% performance guarantee; market norm in Zimbabwe but creates liquidity demand."
"Subject to the terms of this Contract, the Contractor shall be liable for liquidated damages at the rate of USD 5,000 per day for every day of delay beyond the Completion Date, without any limit on the aggregate amount recoverable.","high","delay","true","ZW","bespoke","Uncapped daily LADs in USD; creates severe and uninsurable financial exposure for Zimbabwean contractors."
"Without limiting the generality of the foregoing, the Contractor shall permit the Auditor General or any authorised representative to inspect all financial records relating to this Contract.","low","administrative","false","ZW","bespoke","Government audit access right; standard on public sector Zimbabwe contracts."
"Subject to the terms of this Contract, the Employer may grant an extension of time for delays caused by force majeure events including acts of God, floods, civil unrest, government action or unavailability of foreign currency.","medium","force_majeure","false","ZW","bespoke","Force majeure definition includes Zimbabwe-specific risks (forex, civil unrest); balanced provision."
"Notwithstanding any other provision, either party may apply to the High Court of Zimbabwe for urgent interim relief pending arbitration.","low","dispute","false","ZW","bespoke","Preservation of urgent court relief; balanced dispute mechanism."
"In accordance with industry practice, hyperinflationary conditions that render the Contract commercially impossible to perform shall constitute a force majeure event.","opportunity","force_majeure","false","ZW","bespoke","Hyperinflation as FM event; Zimbabwe-specific protection for contractor."
"The Contractor reserves the right to demand the removal of any employee or person under the Sub-Contractor's control who fails to adhere to any order given by the Contractor and/or any sign(s) relating to safety and/or health.","high","regulatory","true","ZW","bespoke","Clause creates significant risk for subcontractor; one-sided in favour of contractor/employer."
"The Employer may terminate the Contract for convenience by giving 42 days' notice; the Contractor shall be entitled only to Cost incurred plus 3% of the Cost as profit.","high","termination","true","ZW","FIDIC","Termination for convenience with limited profit entitlement; 3% profit capped regardless of anticipated margin."
"Subject to the terms of this Contract, the Contractor shall retain the right to remove from Site any equipment, materials and temporary works paid for by the Contractor at any time.","opportunity","payment","false","ZW","bespoke","Retention of title and removal right; protects contractor's assets against employer default."
"In accordance with industry practice, where the Employer fails to provide something they are to provide by the date stated, the Contractor is entitled to a compensation event for delay and additional cost.","opportunity","delay","false","UK","NEC4","Employer supply chain risk passed back to employer; contractor protected for late employer-furnished items."
"It is hereby agreed that the Contractor provides a 10-year structural warranty for all reinforced concrete works in accordance with the relevant British Standards.","medium","warranty","false","UK","JCT","Long-form structural warranty; common on residential and commercial developments."
"In accordance with industry practice, the Contractor's share of savings achieved below the Target Cost shall be calculated at 50% of the underspend.","opportunity","payment","false","UK","NEC4","50% gainshare on Option C target; significant upside for efficient contractor."
"Notwithstanding any other provision, any variation instructed by the Employer shall be valued by the Employer's Quantity Surveyor, whose valuation shall be final and binding on the Contractor.","high","variation","true","UK","JCT","Removes contractor's right to challenge variation valuations through dispute resolution."
"The Contract shall be governed by and construed in accordance with the law of England and Wales.","neutral","administrative","false","UK","JCT","Governing law clause; standard for UK-based JCT contract."
"For the avoidance of doubt, the Contractor provides forecasts of the total Defined Cost at intervals stated in the Contract Data.","medium","payment","false","UK","NEC4","Cost forecasting obligation; administrative burden but provides transparency."
"'Commencement Date' means the date stated in the Letter of Acceptance from which the Contract Period is calculated.","neutral","administrative","false","ZW","bespoke","Standard definition; administrative."
"Without limiting the generality of the foregoing, where the Employer fails to issue a payment notice or pay less notice by the prescribed date, the sum stated in the Contractor's payment application shall become the sum due.","opportunity","payment","true","UK","JCT","Default payment mechanism under HGCRA; contractor's application becomes notified sum if employer fails to serve notice."
"SECTION 4 – TESTING AND DEFECTS","neutral","administrative","false","UK","NEC4","NEC4 section heading."
"Without limiting the generality of the foregoing, the Contractor shall not commence any variation until the value has been pre-agreed in writing; no post-hoc valuation claims shall be entertained.","high","variation","true","ZW","bespoke","Pre-agreed VO pricing condition precedent; prevents urgent variations proceeding without agreed cost."
"For the avoidance of doubt, the Employer shall give the Contractor possession of the Site on the Date of Possession stated in the Contract Particulars.","low","administrative","false","UK","JCT","Standard possession provision; balanced obligation on employer."
"Without limiting the generality of the foregoing, the Contractor shall be liable for delay damages at the rate stated in Contract Data Part 1 for every day of delay, with no cap on total liability.","high","delay","true","UK","NEC4","Uncapped daily delay damages; creates unlimited financial exposure for contractor."
"Subject to the terms of this Contract, the Employer may grant an extension of time for delays caused by force majeure events including acts of God, floods, civil unrest, government action or unavailability of foreign currency.","medium","force_majeure","false","ZW","bespoke","Force majeure definition includes Zimbabwe-specific risks (forex, civil unrest); balanced provision."
"SECTION 9: DISPUTE RESOLUTION","neutral","administrative","false","ZW","bespoke","Dispute resolution section heading."
"SECTION 1 – DEFINITIONS AND INTERPRETATION","neutral","administrative","false","UK","JCT","Contract heading/section marker."
"Without limiting the generality of the foregoing, the Contractor is to submit revised programmes whenever the Project Manager instructs, or when the Contractor chooses.","medium","delay","false","UK","NEC4","Programme updating obligation; reasonable and standard."
"SECTION 5: PROGRAMME AND COMPLETION","neutral","administrative","false","ZW","bespoke","Programme section heading."
"Subject to the terms of this Contract, the Sub-Contractor shall not be entitled to payment for variations unless a signed Variation Order is produced prior to commencing the varied work; verbal instructions shall not create payment entitlement.","high","variation","true","ZW","bespoke","Pre-variation-order condition precedent; practical impossibility on live construction sites denies contractors legitimate claims."
"The parties confirm that this Contract constitutes the entire agreement between them in respect of the Works and supersedes all prior negotiations.","low","administrative","false","UK","JCT","Entire agreement clause; standard contract formation provision."
"For the avoidance of doubt, the Contractor corrects notified Defects before the defect correction date.","low","warranty","false","UK","NEC4","Standard defect correction obligation; reasonable timeframe."
"It is hereby agreed that the Employer may terminate the Contractor's employment at will and without cause upon giving 7 days' written notice, whereupon the Contractor shall be entitled only to payment for work properly executed.","high","termination","true","UK","JCT","At-will termination without compensation for loss of anticipated profit or demobilisation costs; highly one-sided."
"For the avoidance of doubt, where the Engineer fails to respond within the period for reply, the Contractor may treat the absence of response as approval of the communication.","opportunity","variation","true","ZW","FIDIC","Deemed approval on engineer inaction; contractor can proceed on basis of non-response."
"The Contractor shall not suspend work for non-payment unless it has given 48 hours' prior written notice and obtained a court order confirming the sum is due.","high","payment","true","UK","JCT","Effectively removes contractor's statutory suspension right under HGCRA by imposing impractical preconditions."
"SECTION 9 – SETTLEMENT OF DISPUTES","neutral","administrative","false","UK","JCT","Contract section heading."
"SECTION 4 – PAYMENT","neutral","administrative","false","UK","JCT","Contract section heading."
"Without limiting the generality of the foregoing, provisional sums included in the Contract Bills shall only be expended on the written instruction of the Employer's Representative.","medium","payment","false","ZW","bespoke","Provisional sum control mechanism; standard QS practice."
"SECTION 8 – TERMINATION","neutral","administrative","false","UK","JCT","Contract section heading."
"It is hereby agreed that the Contractor notifies the Project Manager of each compensation event within 8 weeks of becoming aware that the event has happened.","medium","delay","false","UK","NEC4","CE notification deadline; manageable but requires diligent programme management."
"The Contractor shall maintain a 7.5% retention throughout the Works, reducing to 5% on Practical Completion; the balance shall be released at the end of the 12-month Defects Liability Period.","medium","payment","false","ZW","bespoke","Standard retention regime for Zimbabwe; rates are at market norm."
"The Contractor shall submit a construction programme in bar chart form within 21 days of the Commencement Date and update it monthly.","medium","delay","false","ZW","bespoke","Programme obligation; standard practice in Zimbabwe."
"No relaxation or indulgence granted by either Party or omission by either Party timeously or diligently to enforce any right under this Agreement should be deemed to amount to a waiver of that or any other right.","low","administrative","false","ZW","bespoke",""
"It is hereby agreed that the Contractor is entitled to a compensation event where the Project Manager gives an instruction to stop work, and the stop lasts more than 13 weeks, and no further instruction is given.","opportunity","delay","false","UK","NEC4","Prolonged stop-work triggers CE; protects contractor's standing costs."
"Notwithstanding any other provision, the Contractor shall submit a detailed construction programme within 14 days of the Date of Possession and shall update it monthly or following any significant change.","medium","delay","false","UK","JCT","Programme obligation is standard; failure to comply may affect EOT entitlement."
"'Time for Completion' means the time for completing the Works or a Section as stated in the Contract Data, adjusted under Sub-Clause 8.5.","neutral","administrative","false","ZW","FIDIC","Standard FIDIC completion time definition."
"Provisional sums included in the Contract Bills shall only be expended on the written instruction of the Employer's Representative.","medium","payment","false","ZW","bespoke","Provisional sum control mechanism; standard QS practice."
"SECTION 8 – TERMINATION","neutral","administrative","false","UK","JCT","Contract section heading."
"'Architect' means the person named as such in the Contract Particulars or any replacement appointed by the Employer.","neutral","administrative","false","UK","JCT","Standard definition; identifies key contract administrator."
"Without limiting the generality of the foregoing, hyperinflationary conditions that render the Contract commercially impossible to perform shall constitute a force majeure event.","opportunity","force_majeure","false","ZW","bespoke","Hyperinflation as FM event; Zimbabwe-specific protection for contractor."
"Notwithstanding any other provision, where a nominated subcontractor fails to perform, the Employer shall bear the resulting delay costs and shall grant an extension of time to the Contractor.","opportunity","delay","false","ZW","bespoke","Employer's risk for nominated subcontractor failure; contractor protected from third-party defaults imposed by employer."
"For the avoidance of doubt, the Contractor shall not be entitled to any additional payment for compliance with any new law, regulation or standard enacted after the Contract Date.","high","regulatory","true","ZW","bespoke","Full post-contract regulatory risk on contractor; particularly dangerous in Zimbabwe's evolving regulatory environment."
"The parties agree that retention shall be at the rate of 5% until Practical Completion, reducing to 2.5% thereafter, and shall be released at the end of the Defects Liability Period.","medium","payment","false","UK","JCT","Standard retention regime; rates are at the higher end of market practice."
"Notwithstanding any other provision, the Contractor shall be entitled to apply for interim payment on a monthly basis throughout the Contract Period.","low","payment","false","UK","JCT","Monthly interim payment right; standard cash flow provision."
"The Contractor shall give a Defect Notice to the Engineer within 21 days of discovering a defect caused by the Employer.","medium","warranty","false","ZW","FIDIC","Contractor's defect notification right; protects against employer-caused damage being passed back."
"Notwithstanding any other provision, any defect that recurs within 12 months of rectification shall be treated as a new defect with a fresh 12-month rectification warranty.","high","warranty","true","UK","JCT","Rolling warranty on recurring defects; creates perpetual exposure for systemic defects."
"In accordance with industry practice, the Contractor shall comply with all applicable laws, regulations and permit conditions throughout the Contract.","low","regulatory","false","ZW","FIDIC","General regulatory compliance; standard obligation."
"The parties agree that the Employer may at any time instruct the removal of the Contractor's key personnel, and the Contractor shall have no right to object or seek compensation for the disruption caused.","high","variation","true","UK","JCT","Employer can disrupt contractor's team without justification or compensation."
"It is hereby agreed that the Employer may terminate the Contract if the Contractor is in material breach and fails to remedy the breach within 14 days of written notice.","medium","termination","false","UK","JCT","Standard termination for cause with 14-day cure period; balanced provision."
"The parties agree that the Employer shall nominate and pay directly any nominated subcontractors; the Contractor shall be responsible for coordinating nominated subcontractors but not for their defaults.","medium","variation","false","ZW","bespoke","Nominated subcontractor mechanism; limits contractor's liability for employer-selected specialists."
"The parties agree that hyperinflationary conditions that render the Contract commercially impossible to perform shall constitute a force majeure event.","opportunity","force_majeure","false","ZW","bespoke","Hyperinflation as FM event; Zimbabwe-specific protection for contractor."
"For the avoidance of doubt, the Employer shall provide survey benchmarks and reference points for the Contractor's use in setting out the Works.","low","administrative","false","ZW","bespoke","Employer's setting-out support obligation; standard."
"Without limiting the generality of the foregoing, the Contractor corrects notified Defects before the defect correction date.","low","warranty","false","UK","NEC4","Standard defect correction obligation; reasonable timeframe."
"CONTRACT DATA PART 1 – DATA PROVIDED BY THE EMPLOYER","neutral","administrative","false","UK","NEC4","Standard NEC4 document heading."
"'Defects Notification Period' means the period for notifying defects in the Works or a Section as stated in the Contract Data.","neutral","administrative","false","ZW","FIDIC","Standard FIDIC DNP definition."
"On any termination, the Employer shall pay the Contractor within 42 days for all work properly executed and materials delivered to site.","low","termination","false","ZW","bespoke","Payment on termination obligation; standard and reasonable."
"Notwithstanding any other provision, if the Contractor desires to make any variation to the design or specification, it shall submit a formal request to the Employer's Agent, who may consent or refuse at their reasonable discretion.","medium","variation","false","UK","JCT","Variation approval subject to reasonable discretion; some restriction on contractor flexibility."
"SECTION 5: PROGRAMME AND COMPLETION","neutral","administrative","false","ZW","bespoke","Programme section heading."
"SECTION 7 – ASSIGNMENT, THIRD PARTY RIGHTS AND COLLATERAL WARRANTIES","neutral","administrative","false","UK","JCT","Contract section heading."
"Subject to the terms of this Contract, government-imposed price controls that prevent the Contractor from procuring materials at market prices shall entitle the Contractor to an adjustment of the Contract Price.","opportunity","regulatory","false","ZW","bespoke","Price control risk on employer; government intervention risk passed back to employer."
"For the avoidance of doubt, the Contractor warrants that all subcontractors and suppliers will perform their obligations; the Contractor shall be liable for all defaults of subcontractors as if they were the Contractor's own defaults.","high","indemnity","true","UK","JCT","Full vicarious liability for subcontractor defaults; removes contractor's ability to claim against employer for nominated sub failures."
"In accordance with industry practice, the Contractor is to prepare the first programme to show the information stated in this Contract within the period stated in the Contract Data.","medium","delay","false","UK","NEC4","Programme submission obligation; standard NEC4 requirement."
"The Contractor shall give notice to the Engineer within 42 days after the Contractor became aware, or should have become aware, of the event or circumstance giving rise to the claim; failing which the Contractor shall be entitled to no additional payment.","high","delay","true","ZW","FIDIC","FIDIC 2017 Red Book Clause 20.2.1 time bar; strict 28-day notice condition precedent with permanent loss of entitlement."
"The Contractor shall submit as-built drawings within 48 hours of Practical Completion.","low","administrative","false","ZW","bespoke","As-built record submission obligation; standard completion deliverable."
"It is hereby agreed that if the Contractor fails to comply with a Time for Completion, the Employer may after notice reduce the Performance Security proportionally.","medium","delay","true","ZW","FIDIC","Bond reduction on delay; some risk but subject to notice and proportionality."
"The Contractor shall give written notice to the Architect within 42 days of the occurrence of a Relevant Event and shall provide particulars within a further 14 days.","medium","delay","false","UK","JCT","Standard EOT notice provisions; strict but not unreasonable."
"The parties agree that the Employer shall appoint an Employer's Agent to act on its behalf in administering the Contract.","low","administrative","false","UK","JCT","Standard appointment provision; defines contract administration structure."
"Subject to the terms of this Contract, the Contractor shall submit a final account within 90 days of Practical Completion.","low","administrative","false","ZW","bespoke","Final account submission obligation; standard."
"The Contractor shall provide a performance guarantee of 20% of the Contract Sum from an acceptable financial institution within 14 days of Contract execution.","medium","administrative","false","ZW","bespoke","10% performance guarantee; market norm in Zimbabwe but creates liquidity demand."
"It is hereby agreed that provisional sums included in the Contract Bills shall only be expended on the written instruction of the Employer's Representative.","medium","payment","false","ZW","bespoke","Provisional sum control mechanism; standard QS practice."
"Notwithstanding any other provision, the Contractor shall provide copies of all required insurances to the Employer within 7 days of request.","low","indemnity","false","UK","JCT","Standard insurance evidence obligation; reasonable timescale."
"Without limiting the generality of the foregoing, the Contractor is to refer a dispute to the Dispute Avoidance Board within 4 weeks of becoming aware of the dispute.","medium","dispute","false","UK","NEC4","DAB referral timeframe; standard NEC4 W3 procedure."
"The parties agree that the Contractor is to submit revised programmes whenever the Project Manager instructs, or when the Contractor chooses.","medium","delay","false","UK","NEC4","Programme updating obligation; reasonable and standard."
"Notwithstanding any other provision, the Contractor is to obtain the Project Manager's approval before starting the design of each part of the works.","medium","variation","false","UK","NEC4","Design approval obligation; standard for ECC Option A with contractor design."
"Notwithstanding any other provision, where a force majeure event affects both parties, each shall bear its own costs and no claim shall be made against the other.","medium","force_majeure","false","ZW","FIDIC","Bilateral cost-bearing on shared FM events; balanced loss allocation."
"SECTION 1 – DEFINITIONS AND INTERPRETATION","neutral","administrative","false","UK","JCT","Contract heading/section marker."
"CLAUSE 2 – THE EMPLOYER","neutral","administrative","false","ZW","FIDIC","FIDIC section heading."
"Without limiting the generality of the foregoing, a compensation event is not notified if the Employer or the Contractor did not give an early warning of the event when they could have done so.","medium","delay","true","UK","NEC4","Mutual early warning obligation; applies to both parties but in practice limits contractor CEs."
"SECTION 6: VARIATIONS","neutral","administrative","false","ZW","bespoke","Variations section heading."
"Subject to the terms of this Contract, the Employer and the Contractor shall act in a spirit of mutual trust and co-operation.","low","administrative","false","UK","NEC4","Core NEC4 collaboration obligation; aspirational but fundamental."
"In accordance with industry practice, the Contractor shall give notice of a force majeure event within 14 days of its commencement; failure to give notice within this period shall disentitle the Contractor from any relief.","medium","force_majeure","true","UK","JCT","14-day FM notice as condition precedent; strict but proportionate."
"It is hereby agreed that the Contractor shall indemnify the Employer against all costs, claims and expenses arising from the Contractor's presence on site, including claims by third parties, whether or not caused by the Contractor's negligence.","high","indemnity","true","ZW","bespoke","Negligence-free indemnity; contractor becomes insurer for all site-related third party claims."
"SECTION 9 – SETTLEMENT OF DISPUTES","neutral","administrative","false","UK","JCT","Contract section heading."
"The Contractor shall give a Notice of Claim as soon as practicable and in any event within 7 days of the event or circumstance first arising.","medium","delay","false","ZW","FIDIC","28-day CE notification obligation; standard FIDIC time bar."
"Subject to the terms of this Contract, in the event of any dispute, the Employer's decision shall be final and binding; the Contractor shall continue to perform the Works pending any subsequent arbitration.","high","dispute","true","ZW","bespoke","Employer as sole arbiter of disputes; no independent decision-making; contractor must perform under adverse decisions."
"The Sub-Contractor chooses in respect of any disputes, claims and actions arising out of or in connection with this Sub-Contract or its interpretation or the performance of his obligations hereunder, domicilium citandi et executandi at the physical address as set out in Annexure 'A'.","low","administrative","false","ZW","bespoke",""
"The Employer may terminate the Contract for convenience by giving 42 days' notice; the Contractor shall be entitled only to Cost incurred plus 3% of the Cost as profit.","high","termination","true","ZW","FIDIC","Termination for convenience with limited profit entitlement; 3% profit capped regardless of anticipated margin."
"For the avoidance of doubt, the seat of arbitration shall be Harare, Zimbabwe; the arbitrator shall have authority to grant interim relief.","low","dispute","false","ZW","bespoke","Harare-seated arbitration; appropriate for Zimbabwe construction disputes."
"Subject to the terms of this Contract, provisional sums included in the Contract Bills shall only be expended on the written instruction of the Employer's Representative.","medium","payment","false","ZW","bespoke","Provisional sum control mechanism; standard QS practice."
"It is hereby agreed that if the Project Manager does not reply to a communication from the Contractor within the period for reply, the Contractor may notify the Project Manager that the period has expired.","medium","delay","false","UK","NEC4","Inactivity CE mechanism; protects contractor from PM delay in responding."
"For the avoidance of doubt, the Contractor shall rectify any defect notified during the Defects Liability Period within 3 days of notification, failing which the Employer may engage others and recover costs at a premium rate of 150% of the cost incurred.","high","warranty","true","UK","JCT","Impossibly short rectification window; premium rate recovery is punitive and unjustifiable."
"Without limiting the generality of the foregoing, the risk register is issued to the Contractor at the starting date.","low","administrative","false","UK","NEC4","Risk register provision; promotes transparent risk management."
"In accordance with industry practice, the Contractor shall not carry out any blasting operations without prior written approval from SADC Explosives Board and notification to the Employer's Representative.","medium","regulatory","false","ZW","bespoke","Blasting approval requirement; safety-critical and regulatory."
"Without limiting the generality of the foregoing, where the Employer fails to issue a payment notice or pay less notice by the prescribed date, the sum stated in the Contractor's payment application shall become the sum due.","opportunity","payment","true","UK","JCT","Default payment mechanism under HGCRA; contractor's application becomes notified sum if employer fails to serve notice."
